Entry	Entry name
Q60317	AAT_METJA
Q57617	ACDA_METJA
Q57616	ACDB1_METJA
Q57620	ACDB2_METJA
Q57577	ACDD_METJA
P81332	ACDE_METJA
Q57576	ACDG_METJA
Q58010	ACD_METJA
Q58854	ADEC_METJA
Q57843	ADHS_METJA
Q58549	ADPP_METJA
Q58746	AGLUS_METJA
Q57926	AKSA_METJA
Q58991	AKSF_METJA
Q57991	AK_METJA
Q57665	ALBA_METJA
Q58081	AMPPA_METJA
Q58277	AMTAB_METJA
Q59006	AMYA_METJA
Q57729	AMZA_METJA
Q57731	APBC_METJA
Q59007	APGM1_METJA
Q60326	APGM2_METJA
Q60334	ARCH_METJA
Q58428	ARCS_METJA
Q57580	ARFB_METJA
Q60382	ARGB_METJA
Q58496	ARGC_METJA
Q58131	ARGD_METJA
Q57645	ARGJ_METJA
Q58201	ARLY_METJA
Q57925	AROA_METJA
Q58575	AROC_METJA
Q58849	AROD_METJA
Q58484	AROE_METJA
Q58835	AROK_METJA
Q58542	ARSA_METJA
Q60336	ARTA_METJA
Q58227	ASD_METJA
Q58516	ASNH1_METJA
Q58456	ASNH2_METJA
Q58325	ASPD_METJA
Q60174	ASSY_METJA
Q57878	ATGT_METJA
Q57674	ATPL_METJA
Q58696	BIOA_METJA
Q58692	BIOB_METJA
Q58695	BIOD_METJA
Q58694	BIOF_METJA
Q58693	BIOW_METJA
Q59014	BPL_METJA
Q58669	BPSA_METJA
Q58012	BRIX_METJA
Q57573	BSUHB_METJA
Q58425	CARA_METJA
Q58773	CARB1_METJA
Q58776	CARB2_METJA
Q59066	CAS10_METJA
Q57823	CAS1_METJA
Q57831	CAS2_METJA
Q57821	CAS3_METJA
Q57822	CAS4_METJA
Q57827	CAS5_METJA
Q57820	CAS6A_METJA
Q58631	CAS6B_METJA
Q57826	CAS7_METJA
Q57830	CAS8A_METJA
Q58816	CBIA_METJA
Q58340	CBIC_METJA
Q60342	CBID_METJA
Q58917	CBIE_METJA
Q58973	CBIF_METJA
Q58544	CBIG_METJA
Q58223	CBIH_METJA
Q57972	CBIJ_METJA
Q58181	CBIL_METJA
Q58491	CBIM_METJA
Q58490	CBIN_METJA
Q57836	CBIT_METJA
Q58380	CBIX_METJA
Q58511	CCA_METJA
Q58995	CDPAS_METJA
Q57646	CG121_METJA
Q57696	CHMU_METJA
Q58787	CIMA_METJA
Q58323	COABC_METJA
Q58436	COAD_METJA
Q58710	COBD_METJA
Q57908	COBQ_METJA
Q58833	COBS_METJA
Q58517	COBY_METJA
Q58297	COFC_METJA
Q58653	COFD_METJA
Q58178	COFE_METJA
Q58407	COFF_METJA
Q57888	COFG_METJA
Q58826	COFH_METJA
Q58540	COMB_METJA
Q58820	COMC_METJA
P58415	COMD_METJA
P58416	COME_METJA
Q58138	COOS_METJA
Q58439	CORA_METJA
Q58918	CRCB_METJA
Q57829	CS3HD_METJA
Q57828	CS3HE_METJA
Q57824	CSA3_METJA
Q58232	CSG_METJA
Q59064	CSM2_METJA
Q59063	CSM3_METJA
Q59062	CSM4_METJA
Q59061	CSM5_METJA
Q59060	CSX1A_METJA
Q59068	CSX1B_METJA
Q58431	CYDE_METJA
Q58408	DACZ_METJA
Q58936	DADD_METJA
Q58786	DAPAT_METJA
Q57695	DAPA_METJA
Q57865	DAPB_METJA
Q58519	DAPF_METJA
Q58497	DCDA_METJA
Q57872	DCD_METJA
Q57727	DGGGP_METJA
Q57658	DHAS_METJA
Q58997	DHOM_METJA
Q57749	DHPSL_METJA
Q58646	DHQS_METJA
Q58224	DHYS_METJA
Q58980	DKFP_METJA
Q57661	DMRX_METJA
Q58603	DNAG_METJA
Q57635	DNLI_METJA
Q59024	DP2L_METJA
Q58113	DP2S_METJA
Q57907	DPH2_METJA
Q58670	DPHB_METJA
Q58295	DPOL_METJA
Q57630	DTDA_METJA
Q58502	DUT_METJA
Q58488	ECFA_METJA
Q57770	EF1A_METJA
Q57901	EF1B_METJA
Q58448	EF2_METJA
Q57948	EHAA_METJA
Q58030	END3_METJA
Q58819	ENDA_METJA
Q57768	ENGB_METJA
Q60173	ENO_METJA
Q58842	FAEHP_METJA
P61159	FDHA_METJA
Q60316	FDHB_METJA
Q57743	FDHD_METJA
Q58839	FEN_METJA
Q57986	FEOB_METJA
Q60368	FER1_METJA
Q57563	FER2_METJA
Q57610	FER3_METJA
Q57652	FER4_METJA
Q57699	FER5_METJA
Q58041	FER6_METJA
Q58132	FER7_METJA
Q57619	FER8_METJA
Q57713	FER9_METJA
Q57953	FERA_METJA
Q57726	FKBP1_METJA
Q58235	FKBP2_METJA
Q58301	FLAB1_METJA
Q58302	FLAB2_METJA
Q58303	FLAB3_METJA
Q58304	FLAC_METJA
Q58305	FLAD_METJA
Q58306	FLAE_METJA
Q58307	FLAF_METJA
Q58308	FLAG_METJA
Q58309	FLAH_METJA
Q58311	FLAJ_METJA
Q58312	FLAK_METJA
Q58108	FLPA_METJA
Q58896	FNO_METJA
Q58158	FPRA_METJA
Q60338	FRHA_METJA
Q60341	FRHB_METJA
Q60339	FRHD_METJA
Q60340	FRHG_METJA
Q57766	FTR_METJA
Q57739	FTSY_METJA
Q57816	FTSZ1_METJA
Q58039	FTSZ2_METJA
Q58813	FUCA_METJA
Q58569	FWDA_METJA
P61154	FWDB_METJA
Q58571	FWDC_METJA
Q58568	FWDD_METJA
Q58565	FWDE_METJA
Q58566	FWDF_METJA
Q58567	FWDG_METJA
Q58122	G1PDH_METJA
Q58832	G3PP_METJA
Q58546	G3P_METJA
Q59000	G6PI_METJA
Q57664	GALE_METJA
Q58560	GATA_METJA
Q57624	GATB_METJA
Q57694	GATC_METJA
