Entry	Entry name
P47599	ACKA_MYCGE
P47529	ACPH_MYCGE
Q9ZB79	ACPS_MYCGE
P20796	ADP1_MYCGE
P47269	ALF_MYCGE
P47631	AMPA_MYCGE
P47566	AMPP_MYCGE
P47518	APT_MYCGE
P47317	ATCL_MYCGE
P47645	ATP6_MYCGE
P47641	ATPA_MYCGE
P47639	ATPB_MYCGE
P47642	ATPD_MYCGE
P47638	ATPE_MYCGE
P47643	ATPF_MYCGE
P47640	ATPG_MYCGE
P47644	ATPL_MYCGE
P47575	AZOR_MYCGE
P47298	CDD_MYCGE
Q49433	CDSA_MYCGE
P47633	CH10_MYCGE
P47632	CH60_MYCGE
P47597	CLPB_MYCGE
P47506	COAE_MYCGE
Q49420	CSD_MYCGE
P47351	DACB_MYCGE
P47352	DEF_MYCGE
P47296	DEOC_MYCGE
P47295	DEOD_MYCGE
P47571	DER_MYCGE
P47513	DLDH_MYCGE
P35888	DNAA_MYCGE
P47340	DNAB_MYCGE
P47492	DNAG_MYCGE
P47248	DNAJL_MYCGE
P47442	DNAJM_MYCGE
P47265	DNAJ_MYCGE
P47547	DNAK_MYCGE
P47496	DNLJ_MYCGE
Q49405	DPO3A_MYCGE
P47247	DPO3B_MYCGE
P47658	DPO3X_MYCGE
P47277	DPO3_MYCGE
P47470	DYR_MYCGE
P47425	ECFA1_MYCGE
P47426	ECFA2_MYCGE
P47335	EFG_MYCGE
P47272	EFP_MYCGE
P47246	EFTS_MYCGE
P13927	EFTU_MYCGE
P47477	END4_MYCGE
P47577	ENGB_MYCGE
P47647	ENO_MYCGE
P47627	ERA_MYCGE
Q49412	ESL1_MYCGE
Q49418	ESL2_MYCGE
Q49421	ESL3_MYCGE
Q49406	EX53_MYCGE
P47605	FMT_MYCGE
P47259	FOLD_MYCGE
P55825	FPG_MYCGE
Q49396	FRUK_MYCGE
P47695	FTSH_MYCGE
P47539	FTSY_MYCGE
P47466	FTSZ_MYCGE
P47543	G3P_MYCGE
P47357	G6PI_MYCGE
P47364	GALE_MYCGE
P47691	GALU_MYCGE
P47345	GATA_MYCGE
P47346	GATB_MYCGE
Q49398	GLF_MYCGE
P47279	GLPF_MYCGE
P47284	GLPK_MYCGE
P47634	GLYA_MYCGE
P47669	GPMI_MYCGE
P47524	GREA_MYCGE
P47443	GRPE_MYCGE
P47250	GYRA_MYCGE
P47249	GYRB_MYCGE
Q49413	HMW1_MYCGE
P47460	HMW2_MYCGE
Q57081	HMW3_MYCGE
P47331	HPRK_MYCGE
P47666	HPRR_MYCGE
P47696	HPRT_MYCGE
P47447	HRCA_MYCGE
P47419	IF1_MYCGE
P47388	IF2_MYCGE
P47438	IF3_MYCGE
P47593	IPYR_MYCGE
P47417	KAD_MYCGE
P47572	KCY_MYCGE
P47353	KGUA_MYCGE
P47280	KITH_MYCGE
P47304	KPRS_MYCGE
P47458	KPYK_MYCGE
P47252	KTHY_MYCGE
P47698	LDH_MYCGE
P47384	LEPA_MYCGE
P47332	LGT_MYCGE
P47481	LON_MYCGE
P47512	LPLA_MYCGE
Q49401	LSPA_MYCGE
P47299	MANB_MYCGE
P47418	MAP1_MYCGE
P47293	METK_MYCGE
P22747	MGP3_MYCGE
P47537	MNMA_MYCGE
P47254	MNME_MYCGE
P47619	MNMG_MYCGE
P47463	MRAZ_MYCGE
P47648	MSRA_MYCGE
P47686	MSRB_MYCGE
P47487	MTHFS_MYCGE
P47623	NADE_MYCGE
P47374	NADK_MYCGE
Q49408	NAOX_MYCGE
P47472	NRDI_MYCGE
P22746	NRNA_MYCGE
P47387	NUSA_MYCGE
P47300	NUSG_MYCGE
P47624	OBG_MYCGE
P47514	ODP2_MYCGE
P47516	ODPA_MYCGE
P47515	ODPB_MYCGE
P47692	OHRL_MYCGE
P47323	OPPB_MYCGE
P47324	OPPC_MYCGE
P47325	OPPD_MYCGE
P47326	OPPF_MYCGE
Q49429	P200_MYCGE
P47532	P29_MYCGE
Q49417	P32_MYCGE
Q49410	P37_MYCGE
P47459	P65H_MYCGE
P47533	P69_MYCGE
P47706	PARA_MYCGE
P47446	PARC_MYCGE
P47445	PARE_MYCGE
Q9ZB73	PBDGT_MYCGE
P47429	PEPF_MYCGE
P47457	PFKA_MYCGE
P47542	PGK_MYCGE
P47360	PGSA_MYCGE
P47266	PIP_MYCGE
P47355	PKNS_MYCGE
Q49402	PLSC_MYCGE
