Entry	Entry name
O05413	2NPD_BACSU
P37878	3MGA_BACSU
P94378	3MGH_BACSU
P70994	4OT_BACSU
P68522	53DR_BACSU
P12013	6PGDH_BACSU
P80859	6PGD_BACSU
O34499	6PGL_BACSU
P17585	AADK_BACSU
O06005	AAPA_BACSU
P53001	AAT1_BACSU
O07587	AAT3_BACSU
P39758	ABH_BACSU
P08874	ABRB_BACSU
O34847	ACCA_BACSU
P49787	ACCC1_BACSU
O34544	ACCC2_BACSU
C0SP93	ACCD_BACSU
P45867	ACDA_BACSU
P45857	ACDB_BACSU
O34421	ACDC_BACSU
P37877	ACKA_BACSU
P09339	ACNA_BACSU
O31404	ACOA_BACSU
O34591	ACOB_BACSU
O31550	ACOC_BACSU
O31551	ACOR_BACSU
Q7PC63	ACPK_BACSU
P96618	ACPS_BACSU
P80643	ACP_BACSU
P39062	ACSA_BACSU
P39065	ACUA_BACSU
P39066	ACUB_BACSU
P39067	ACUC_BACSU
O35031	ACYP_BACSU
P19219	ADAA_BACSU
P19220	ADAB_BACSU
P23478	ADDA_BACSU
P23477	ADDB_BACSU
P39761	ADEC_BACSU
P71073	ADER_BACSU
C0SPA5	ADHA_BACSU
O06012	ADHB_BACSU
O06008	ADHR_BACSU
P54570	ADPP_BACSU
O34508	AEEP_BACSU
O34645	AGAL_BACSU
P80239	AHPC_BACSU
Q04795	AK1_BACSU
P08495	AK2_BACSU
P94417	AK3_BACSU
P71011	ALBA_BACSU
P71010	ALBB_BACSU
P71009	ALBC_BACSU
P71008	ALBD_BACSU
P71007	ALBE_BACSU
P71006	ALBF_BACSU
P71005	ALBG_BACSU
Q04777	ALDC_BACSU
P42236	ALDH1_BACSU
P39616	ALDH2_BACSU
P46329	ALDH3_BACSU
O34660	ALDH4_BACSU
O06478	ALDH5_BACSU
P94358	ALDY_BACSU
P13243	ALF_BACSU
P50846	ALKH_BACSU
O32137	ALLB_BACSU
O32149	ALLC_BACSU
P94575	ALLP_BACSU
P10725	ALR1_BACSU
P94494	ALR2_BACSU
Q04778	ALSR_BACSU
Q45068	ALST_BACSU
P54983	AMHX_BACSU
O32106	AMPA_BACSU
P39762	AMPS_BACSU
O34518	AMYC_BACSU
O34706	AMYD_BACSU
P00691	AMY_BACSU
Q07683	ANSR_BACSU
Q7WY63	ANTE_BACSU
P50863	APBC_BACSU
P42061	APPA_BACSU
P42062	APPB_BACSU
P42063	APPC_BACSU
P42064	APPD_BACSU
P42065	APPF_BACSU
O31788	APRX_BACSU
